symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
GANDHITUBE,GANDHITUBEEQN, BUY BACK,351.05,-5.050000000000011,-1.4181409716371836,356.1,41,14393.05,-,558.85,254.55,351.05,https://static.nseindia.com/sparklines/today/preOpen_GANDHITUBEEQN.jpg
RELCAPITAL,RELCAPITALEQN, ANNUAL GENERAL MEETING/DIVIDEND RS 11 PER SHARE,13.9,-0.1999999999999993,-1.4184397163120517,14.1,28605,397609.5,-,30.65,9.3,13.9,https://static.nseindia.com/sparklines/today/preOpen_RELCAPITALEQN.jpg
HCC,HCCEQN, ANNUAL GENERAL MEETING,17.3,-0.25,-1.4245014245014245,17.55,70730,1223629.0,-,20.05,7.25,17.3,https://static.nseindia.com/sparklines/today/preOpen_HCCEQN.jpg
GUFICBIO,GUFICBIOEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.10 PER SHARE,210.1,-3.0500000000000114,-1.4309171944639978,213.15,71,14917.1,-,270.0,99.0,210.1,https://static.nseindia.com/sparklines/today/preOpen_GUFICBIOEQN.jpg
JETAIRWAYS,JETAIRWAYSBZN,,82.4,-1.1999999999999886,-1.4354066985645797,83.6,403,33207.2,-,141.9,65.1,82.4,https://static.nseindia.com/sparklines/today/preOpen_JETAIRWAYSBZN.jpg
PATELENG,PATELENGBEN,,27.4,-0.40000000000000213,-1.438848920863317,27.8,2201,60307.4,-,34.95,11.15,27.4,-
NCC,NCCEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.80 PER SHARE,65.0,-0.9500000000000028,-1.4404852160727866,65.95,18460,1199900.0,-,98.5,64.65,65.0,https://static.nseindia.com/sparklines/today/preOpen_NCCEQN.jpg
GTL,GTLEQN, ANNUAL GENERAL MEETING,17.1,-0.25,-1.440922190201729,17.35,454,7763.4,-,31.65,4.8,17.1,https://static.nseindia.com/sparklines/today/preOpen_GTLEQN.jpg
KAMDHENU,KAMDHENUEQN, DIVIDEND - RS 0.80 PER SHARE,225.0,-3.3000000000000114,-1.445466491458612,228.3,221,49725.0,-,268.3,119.5,225.0,https://static.nseindia.com/sparklines/today/preOpen_KAMDHENUEQN.jpg
HLEGLAS,HLEGLASEQN, DIVIDEND - RS 4 PER SHARE,5501.15,-80.80000000000018,-1.4475228190865232,5581.95,53,291560.95,-,7550.0,1755.0,5501.15,https://static.nseindia.com/sparklines/today/preOpen_HLEGLASEQN.jpg
STEL,STELEQN, ANNUAL GENERAL MEETING,136.0,-2.0,-1.4492753623188406,138.0,48,6528.0,-,216.0,71.5,136.0,https://static.nseindia.com/sparklines/today/preOpen_STELEQN.jpg
GLOBUSSPR,GLOBUSSPREQN, DIVIDEND - RS 2 PER SHARE,1249.0,-18.40000000000009,-1.4517910683288693,1267.4,495,618255.0,-,1759.5,293.85,1249.0,https://static.nseindia.com/sparklines/today/preOpen_GLOBUSSPREQN.jpg
DATAMATICS,DATAMATICSEQN, ANNUAL GENERAL MEETING,284.3,-4.199999999999989,-1.4558058925476565,288.5,300,85290.0,-,382.4,108.5,284.3,https://static.nseindia.com/sparklines/today/preOpen_DATAMATICSEQN.jpg
CYBERTECH,CYBERTECHEQN, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,182.0,-2.6999999999999886,-1.4618299945858086,184.7,355,64610.0,-,245.35,113.1,182.0,https://static.nseindia.com/sparklines/today/preOpen_CYBERTECHEQN.jpg
SJS,SJSEQN,,386.0,-5.75,-1.467772814294831,391.75,48,18528.0,-,551.0,339.5,386.0,-
SHREDIGCEM,SHREDIGCEMEQN, INTERIM DIVIDEND - RS 1.50 PER SHARE,67.1,-1.0,-1.4684287812041117,68.1,1095,73474.5,-,97.8,55.05,67.1,https://static.nseindia.com/sparklines/today/preOpen_SHREDIGCEMEQN.jpg
JAIBALAJI,JAIBALAJIEQN, ANNUAL GENERAL MEETING,50.0,-0.75,-1.477832512315271,50.75,101,5050.0,-,71.05,23.2,50.0,https://static.nseindia.com/sparklines/today/preOpen_JAIBALAJIEQN.jpg
HAPPSTMNDS,HAPPSTMNDSEQN, INTERIM DIVIDEND - RS 1.75 PER SHARE,1038.9,-15.599999999999909,-1.4793741109530496,1054.5,1254,1302780.6,-,1580.0,399.0,1038.9,https://static.nseindia.com/sparklines/today/preOpen_HAPPSTMNDSEQN.jpg
KECL,KECLEQN, ANNUAL GENERAL MEETING,23.3,-0.34999999999999787,-1.4799154334037965,23.65,172,4007.6,-,30.6,12.0,23.3,https://static.nseindia.com/sparklines/today/preOpen_KECLEQN.jpg
TEJASNET,TEJASNETEQN, ANNUAL GENERAL MEETING,436.0,-6.550000000000011,-1.4800587504236835,442.55,1600,697600.0,-,570.5,156.5,436.0,https://static.nseindia.com/sparklines/today/preOpen_TEJASNETEQN.jpg
HNDFDS,HNDFDSEQN, ANNUAL GENERAL MEETING,1923.0,-29.049999999999955,-1.4881790937732104,1952.05,4,7692.0,-,2578.0,1700.0,1923.0,https://static.nseindia.com/sparklines/today/preOpen_HNDFDSEQN.jpg
