symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
DYNAMIC,DYNAMICSMN,,20.75,0.9499999999999993,4.797979797979794,19.8,2000,41500,93681070.56,57.7,18.0,20.75,-
INNOVATIVE,INNOVATIVESMN,,7.0,0.2999999999999998,4.477611940298504,6.7,9000,63000,68709771.46,20.45,6.1,7.0,https://static.nseindia.com/sparklines/today/preOpen_INNOVATIVESMN.jpg
PRECISION,PRECISIONSMN,,53.55,0.19999999999999574,0.3748828491096452,53.35,2000,107100,225529504.49,55.0,44.1,53.55,-
BRIGHT,BRIGHTSMN,,6.95,0.0,0.0,6.95,3000,20850,106335000.0,15.55,4.6,6.95,https://static.nseindia.com/sparklines/today/preOpen_BRIGHTSMN.jpg
MITCON,MITCONSMN,,106.85,-5.6000000000000085,-4.979991107158745,112.45,2000,213700,1086660431.06,137.65,33.1,106.85,https://static.nseindia.com/sparklines/today/preOpen_MITCONSMN.jpg
FOCE,FOCESMN,,207.0,-19.30000000000001,-8.52850198851083,226.3,600,124200,287889921.15,264.0,185.1,207.0,-
